allianceid,cusip1,cusip2,effective,licensing,exlicensing,manufacturing,oem,marketing,rnd,strategic,supply,techtrans,cballiance,jv
322,91821D,803054,1990-03-19,0,0,0,0,0,0,1,0,0,0,0
322,91821D,826197,1990-03-19,0,0,0,0,0,0,1,0,0,0,0
323,552673,192000,1990-03-19,0,0,0,0,1,0,1,0,0,0,0
324,B5628B,26144A,1990-03-19,1,0,0,0,0,1,1,0,1,0,0
325,459862,052769,1990-03-20,0,0,0,0,1,0,0,0,0,0,1
326,83519P,428236,1990-03-21,0,0,0,0,1,0,1,0,0,0,0
327,253849,172528,1990-03-21,0,0,0,0,0,0,1,1,0,0,0
328,891493,620076,1990-03-22,0,0,1,0,0,0,1,0,0,0,0
329,98718T,63506Q,1990-03-22,0,0,0,0,0,0,0,0,0,0,1
330,670006,30738T,1990-03-25,1,0,0,0,0,0,1,0,0,0,0
331,91265F,83439M,1990-03-26,0,0,0,0,1,0,1,0,0,0,0
332,502161,44918P,1990-03-26,0,0,1,0,0,0,1,0,0,0,0
332,59102T,44918P,1990-03-26,0,0,1,0,0,0,1,0,0,0,0
332,59102T,502161,1990-03-26,0,0,1,0,0,0,1,0,0,0,0
333,36760T,032659,1990-03-29,0,0,0,0,1,0,1,0,0,0,0
334,90390C,359590,1990-03-30,0,0,0,0,0,0,1,0,0,0,0
334,J86957,359590,1990-03-30,0,0,0,0,0,0,1,0,0,0,0
334,J86957,90390C,1990-03-30,0,0,0,0,0,0,1,0,0,0,0
335,80509X,032515,1990-04-01,0,0,1,0,0,0,1,0,0,0,0
336,545700,037833,1990-04-01,0,0,0,0,0,0,1,0,0,0,0
337,872031,235204,1990-04-01,0,0,1,0,0,0,1,0,0,0,0
338,90390C,08425T,1990-04-01,0,0,0,0,0,0,1,0,0,0,0
339,91328X,826197,1990-04-01,0,0,1,0,0,0,1,0,0,0,0
340,885094,032515,1990-04-01,0,0,1,0,1,0,1,0,1,0,0
341,670006,23961A,1990-04-02,0,0,0,0,0,0,1,0,0,0,0
342,73318Q,359590,1990-04-02,0,0,1,0,0,0,1,0,1,0,0
343,909214,82656X,1990-04-02,0,0,0,0,0,0,1,0,0,0,0
344,747236,00207C,1990-04-02,0,0,1,0,0,0,0,0,0,0,1
345,253849,038316,1990-04-03,0,0,0,0,1,0,1,0,0,0,0
346,64120Z,23303C,1990-04-03,0,0,0,0,1,0,1,0,0,0,0
347,90467K,747236,1990-04-03,0,0,0,0,1,0,1,0,0,0,0
